#,Element,Ox.-number Z,"bondtype",CN,"Spinstate","Radius RHoWior Cordero","Crystal Radius CRShannon","Ionic Radius IRShannon","Covalent RadiusCordero",Z/R,"charge surface ratio[(Z/R)/4pR2]",Notes,
678,Te,0,W,0,,2.1,,,,0.00,0.000,,
679,Te,4,I,3,,0.66,0.66,0.52,,6.06,1.107,,
680,Te,4,I,4,,0.80,0.8,0.66,,5.00,0.622,,
681,Te,4,I,6,,1.11,1.11,0.97,,3.60,0.233,,
682,Te,6,I,4,,0.57,0.57,0.43,,10.53,2.578,,
683,Te,6,I,6,,0.70,0.7,0.56,,8.57,1.392,,
684,Th,0,C(1),0,,2.06,,,2.06,0.00,0.000,,
685,Th,0,M,12,,1.798,,,,0.00,0.000,,
686,Th,4,I,6,,1.08,1.08,0.94,,3.70,0.253,,
687,Th,4,I,8,,1.19,1.19,1.05,,3.36,0.189,,
688,Th,4,I,9,,1.23,1.23,1.09,,3.25,0.171,,
689,Th,4,I,10,,1.27,1.27,1.13,,3.15,0.155,,
690,Th,4,I,11,,1.32,1.32,1.18,,3.03,0.138,,
691,Th,4,I,12,,1.35,1.35,1.21,,2.96,0.129,,
692,Ti,0,C(1),0,,1.6,,,1.6,0.00,0.000,,
693,Ti,0,K(1),4,,1.32,,,,0.00,0.000,,
694,Ti,0,M,12,,1.448,,,,0.00,0.000,,
695,Ti,2,I,6,,1.00,1,0.86,,2.00,0.159,,
696,Ti,3,I,6,,0.810,0.81,0.67,,3.70,0.449,,
697,Ti,4,I,4,,0.56,0.56,0.42,,7.14,1.813,,
698,Ti,4,I,5,,0.65,0.65,0.51,,6.15,1.159,,
699,Ti,4,I,6,,0.745,0.745,0.605,,5.37,0.770,,
700,Ti,4,I,8,,0.88,0.88,0.74,,4.55,0.467,,
701,Tl,0,C(1),0,,1.45,,,1.45,0.00,0.000,,
702,Tl,0,M,12,,1.700,,,,0.00,0.000,,
703,Tl,0,W,0,,2.0,,,,0.00,0.000,,
704,Tl,1,I,6,,1.64,1.64,1.5,,0.61,0.018,,
705,Tl,1,I,8,,1.73,1.73,1.59,,0.58,0.015,,
706,Tl,1,I,12,,1.84,1.84,1.7,,0.54,0.013,,
707,Tl,3,I,4,,0.89,0.89,0.75,,3.37,0.339,,
708,Tl,3,I,6,,1.025,1.025,0.885,,2.93,0.222,,
709,Tl,3,I,8,,1.12,1.12,0.98,,2.68,0.170,,
710,Tm,0,C(1),0,,1.9,,,1.9,0.00,0.000,,
711,Tm,0,M,12,,1.724,,,,0.00,0.000,,
712,Tm,2,I,6,,1.17,1.17,1.03,,1.71,0.099,,
713,Tm,2,I,7,,1.23,1.23,1.09,,1.63,0.086,,
714,Tm,3,I,6,,1.02,1.02,0.88,,2.94,0.225,,
715,Tm,3,I,8,,1.134,1.134,0.994,,2.65,0.164,,
716,Tm,3,I,9,,1.192,1.192,1.052,,2.52,0.141,,
717,U,0,C(1),0,,1.96,,,1.96,0.00,0.000,,
718,U,0,M,12,,1.542,,,,0.00,0.000,,
719,U,3,I,6,,1.165,1.165,1.025,,2.58,0.151,,
720,U,4,I,6,,1.03,1.03,0.89,,3.88,0.291,,
721,U,4,I,7,,1.09,1.09,0.95,,3.67,0.246,,
722,U,4,I,8,,1.14,1.14,1,,3.51,0.215,,
723,U,4,I,9,,1.19,1.19,1.05,,3.36,0.189,,
724,U,4,I,12,,1.31,1.31,1.17,,3.05,0.142,,
725,U,5,I,6,,0.90,0.9,0.76,,5.56,0.546,,
726,U,5,I,7,,0.98,0.98,0.84,,5.10,0.423,,
727,U,6,I,2,,0.59,0.59,0.45,,10.17,2.325,,
728,U,6,I,4,,0.66,0.66,0.52,,9.09,1.661,,
729,U,6,I,6,,0.87,0.87,0.73,,6.90,0.725,,
730,U,6,I,7,,0.95,0.95,0.81,,6.32,0.557,,
731,U,6,I,8,,1.00,1,0.86,,6.00,0.477,,
732,V,0,C(1),0,,1.53,,,1.53,0.00,0.000,,
733,V,0,M,8,,1.311,,,,0.00,0.000,,
734,V,0,M,12,,1.35,,,,0.00,0.000,,
735,V,2,I,6,,0.93,0.93,0.79,,2.15,0.198,,
736,V,3,I,6,,0.780,0.78,0.64,,3.85,0.503,,
737,V,4,I,5,,0.67,0.67,0.53,,5.97,1.058,,
738,V,4,I,6,,0.72,0.72,0.58,,5.56,0.853,,
739,V,4,I,8,,0.86,0.86,0.72,,4.65,0.500,,
740,V,5,I,4,,0.495,0.495,0.355,,10.10,3.281,,
741,V,5,I,5,,0.60,0.6,0.46,,8.33,1.842,,
742,V,5,I,6,,0.68,0.68,0.54,,7.35,1.265,,
743,W,0,C(1),0,,1.62,,,1.62,0.00,0.000,,
744,W,0,M,8,,1.37,,,,0.00,0.000,,
745,W,0,M,12,,1.41,,,,0.00,0.000,,
746,W,4,I,6,,0.80,0.8,0.66,,5.00,0.622,,
747,W,5,I,6,,0.76,0.76,0.62,,6.58,0.906,,
748,W,6,I,4,,0.56,0.56,0.42,,10.71,2.719,,
749,W,6,I,5,,0.65,0.65,0.51,,9.23,1.739,,
750,W,6,I,6,,0.74,0.74,0.6,,8.11,1.178,,
751,Xe,0,C(1),0,,1.4,,,1.4,0.00,0.000,,
752,Xe,0,W,0,,2.2,,,,0.00,0.000,,
753,Xe,8,I,4,,0.54,0.54,0.4,,14.81,4.043,,
754,Xe,8,I,6,,0.62,0.62,0.48,,12.90,2.671,,
755,Y,0,C(1),0,,1.9,,,1.9,0.00,0.000,,
756,Y,0,M,12,,1.776,,,,0.00,0.000,,
757,Y,3,I,6,,1.040,1.04,0.9,,2.88,0.212,,
758,Y,3,I,7,,1.10,1.1,0.96,,2.73,0.179,,
759,Y,3,I,8,,1.159,1.159,1.019,,2.59,0.153,,
760,Y,3,I,9,,1.215,1.215,1.075,,2.47,0.133,,
761,Yb,0,C(1),0,,1.87,,,1.87,0.00,0.000,,
762,Yb,0,M,12,,1.940,,,,0.00,0.000,,
